asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
ADA,2025-10-27 20:00:00+00:00,0.667,-1.0,0.6386964285714285,0.6805857142857143,1238.3440744454174,1.0,0.85,2.08,2025-11-01 20:00:00+00:00,2025-10-28 20:00:00+00:00,0.6386964285714285,tp,51.309721838919174
TRX,2025-10-27 20:00:00+00:00,0.2983,-1.0,0.2923,0.30118,1238.3440744454174,1.0,0.85,2.08,2025-11-01 20:00:00+00:00,2025-10-29 16:00:00+00:00,0.2923,tp,23.669682900655193
ADA,2025-10-28 20:00:00+00:00,0.6459,-1.0,0.6110785714285715,0.6626142857142857,1251.1715049051472,1.0,0.85,2.08,2025-11-02 20:00:00+00:00,2025-10-30 12:00:00+00:00,0.6110785714285715,tp,66.20134310828786
TRX,2025-10-30 12:00:00+00:00,0.2917,-1.0,0.2839857142857143,0.2954028571428572,1273.639261407383,1.0,0.85,2.08,2025-11-04 12:00:00+00:00,2025-10-31 08:00:00+00:00,0.2954028571428572,sl,-17.823383547630982
TRX,2025-11-02 12:00:00+00:00,0.296,1.0,0.2995,0.29431999999999997,1269.1834155204751,1.0,0.85,2.08,2025-11-07 12:00:00+00:00,2025-11-03 00:00:00+00:00,0.29431999999999997,sl,-8.853411879617216
ADA,2025-10-30 12:00:00+00:00,0.6031,-1.0,0.5582607142857143,0.6246228571428571,1273.639261407383,1.0,0.85,2.08,2025-11-04 12:00:00+00:00,2025-11-03 12:00:00+00:00,0.5582607142857143,tp,93.41890714744252
TRX,2025-11-03 04:00:00+00:00,0.294,1.0,0.2981785714285714,0.2919942857142857,1266.970062550571,1.0,0.85,2.08,2025-11-08 04:00:00+00:00,2025-11-03 12:00:00+00:00,0.2919942857142857,sl,-10.290530312710274
TRX,2025-11-03 20:00:00+00:00,0.2813,-1.0,0.27474642857142856,0.2844457142857143,1287.7521567592541,1.0,0.85,2.08,2025-11-08 20:00:00+00:00,2025-11-04 00:00:00+00:00,0.2844457142857143,sl,-16.07471895550049
ADA,2025-11-03 20:00:00+00:00,0.5528,-1.0,0.5093357142857142,0.5736628571428571,1287.7521567592541,1.0,0.85,2.08,2025-11-08 20:00:00+00:00,2025-11-04 16:00:00+00:00,0.5093357142857142,tp,99.96265969304518
ADA,2025-11-04 20:00:00+00:00,0.5208,1.0,0.5826392857142857,0.4911171428571429,1308.7241419436402,1.0,0.85,2.08,2025-11-09 20:00:00+00:00,2025-11-07 16:00:00+00:00,0.5826392857142857,tp,154.0879082214129
TRX,2025-11-04 20:00:00+00:00,0.2855,1.0,0.2971785714285714,0.2798942857142857,1308.7241419436402,1.0,0.85,2.08,2025-11-09 20:00:00+00:00,2025-11-09 20:00:00+00:00,0.2906,time,22.069535486471878
ADA,2025-11-11 00:00:00+00:00,0.5988,1.0,0.637175,0.58038,1352.7635028706115,1.0,0.85,2.08,2025-11-16 00:00:00+00:00,2025-11-11 04:00:00+00:00,0.58038,sl,-43.37165822319849
TRX,2025-11-11 00:00:00+00:00,0.298,1.0,0.3031607142857143,0.29552285714285714,1352.7635028706115,1.0,0.85,2.08,2025-11-16 00:00:00+00:00,2025-11-12 16:00:00+00:00,0.29552285714285714,sl,-13.003520233394445
ADA,2025-11-12 20:00:00+00:00,0.5458,1.0,0.5841035714285714,0.5274142857142856,1338.6697082564633,1.0,0.85,2.08,2025-11-17 20:00:00+00:00,2025-11-13 16:00:00+00:00,0.5274142857142856,sl,-46.834442073543784
