asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
POL,2025-12-01 15:00:00+00:00,0.1192,-1.0,0.115075,0.12118000000000001,1270.8026966038656,1.0,0.8234786987304688,2.08,2025-12-06 15:00:00+00:00,2025-12-02 11:00:00+00:00,0.12118000000000001,sl,-22.761014472662758,1
ADA,2025-12-03 04:00:00+00:00,0.4429,-1.0,0.4109535714285714,0.45823428571428576,2490.022468112272,2.0,0.8935008645057678,2.08,2025-12-08 04:00:00+00:00,2025-12-05 16:00:00+00:00,0.4109535714285714,tp,177.1155880959,1
ATOM,2025-12-07 14:00:00+00:00,2.148,1.0,2.192107142857143,2.1268285714285717,2578.580262160222,2.0,0.9083662629127502,2.08,2025-12-12 14:00:00+00:00,2025-12-07 15:00:00+00:00,2.192107142857143,tp,50.370119920200075,1
FIL,2025-12-07 14:00:00+00:00,1.43,1.0,1.4666071428571428,1.4124285714285714,3867.870393240333,3.0,0.9224855899810791,2.08,2025-12-12 14:00:00+00:00,2025-12-07 17:00:00+00:00,1.4666071428571428,tp,95.14729326988004,1
APT,2025-12-09 15:00:00+00:00,1.831,-1.0,1.758857142857143,1.8656285714285714,1325.669484377631,1.0,0.8032651543617249,2.08,2025-12-14 15:00:00+00:00,2025-12-09 16:00:00+00:00,1.8656285714285714,sl,-26.794938014261255,1
ATOM,2025-12-09 16:00:00+00:00,2.404,-1.0,2.334,2.4375999999999998,1318.9707498740659,1.0,0.8037432432174683,2.08,2025-12-14 16:00:00+00:00,2025-12-09 20:00:00+00:00,2.334,tp,37.08699950436238,1
DOT,2025-12-09 16:00:00+00:00,2.337,-1.0,2.2434285714285718,2.3819142857142857,3956.9122496221976,3.0,0.9348632097244263,2.08,2025-12-14 16:00:00+00:00,2025-12-10 02:00:00+00:00,2.2434285714285718,tp,154.4743808307944,1
ICP,2025-12-09 16:00:00+00:00,3.678,-1.0,3.518142857142857,3.7579285714285713,1978.4561248110988,2.0,0.9050498008728027,2.0,2025-12-14 16:00:00+00:00,2025-12-10 08:00:00+00:00,3.518142857142857,tp,84.0113055338397,1
APT,2025-12-09 16:00:00+00:00,1.888,-1.0,1.807642857142857,1.9265714285714284,2637.9414997481317,2.0,0.8500610589981079,2.08,2025-12-14 16:00:00+00:00,2025-12-10 08:00:00+00:00,1.807642857142857,tp,109.63824597061529,1
ATOM,2025-12-12 15:00:00+00:00,2.103,1.0,2.153714285714286,2.078657142857143,1415.2734828339687,1.0,0.8074929118156433,2.08,2025-12-17 15:00:00+00:00,2025-12-13 01:00:00+00:00,2.153714285714286,tp,32.71434314688268,1
FIL,2025-12-12 15:00:00+00:00,1.328,1.0,1.3687142857142858,1.308457142857143,1415.2734828339687,1.0,0.82331383228302,2.08,2025-12-17 15:00:00+00:00,2025-12-14 14:00:00+00:00,1.308457142857143,sl,-22.667029844776064,1
POL,2025-12-15 15:00:00+00:00,0.114,1.0,0.11755357142857142,0.11229428571428572,2835.570622318991,2.0,0.9166919589042664,2.08,2025-12-20 15:00:00+00:00,2025-12-15 17:00:00+00:00,0.11229428571428572,sl,-46.113200744464166,1
ADA,2025-12-15 12:00:00+00:00,0.3855,-1.0,0.36592857142857144,0.39489428571428575,2835.570622318991,2.0,0.9124903678894043,2.08,2025-12-20 12:00:00+00:00,2025-12-17 16:00:00+00:00,0.36592857142857144,tp,141.12336036070926,1
FIL,2025-12-17 18:00:00+00:00,1.222,-1.0,1.162,1.2508,2883.0757021271133,2.0,0.9120162725448608,2.08,2025-12-22 18:00:00+00:00,2025-12-18 13:00:00+00:00,1.2508,sl,-71.69610006682473,1
DOT,2025-12-17 18:00:00+00:00,1.804,-1.0,1.724357142857143,1.8422285714285713,1441.5378510635567,1.0,0.8017740845680237,2.08,2025-12-22 18:00:00+00:00,2025-12-18 13:00:00+00:00,1.8422285714285713,sl,-32.42163374428302,1
ATOM,2025-12-17 18:00:00+00:00,1.934,-1.0,1.8559642857142857,1.9714571428571428,2883.0757021271133,2.0,0.855233907699585,2.08,2025-12-22 18:00:00+00:00,2025-12-18 19:00:00+00:00,1.8559642857142857,tp,113.44726129646456,1
DOT,2025-12-18 19:00:00+00:00,1.727,-1.0,1.64325,1.7672,2887.740465869792,2.0,0.884641706943512,2.08,2025-12-23 19:00:00+00:00,2025-12-18 21:00:00+00:00,1.7672,sl,-70.9730358123277,1
POL,2025-12-18 19:00:00+00:00,0.1023,-1.0,0.09712142857142858,0.10478571428571429,2887.740465869792,2.0,0.906342625617981,2.08,2025-12-23 19:00:00+00:00,2025-12-19 03:00:00+00:00,0.10478571428571429,sl,-73.92119583581419,1
APT,2025-12-20 08:00:00+00:00,1.685,-1.0,1.6275000000000002,1.7126000000000001,2815.2933500457207,2.0,0.8640300035476685,2.08,2025-12-25 08:00:00+00:00,2025-12-20 12:00:00+00:00,1.6275000000000002,tp,93.25554797198906,1
ICP,2025-12-20 14:00:00+00:00,3.022,-1.0,2.9334999999999996,3.0662499999999997,2146.4408430237863,2.0,0.8967218399047852,2.0,2025-12-25 14:00:00+00:00,2025-12-20 20:00:00+00:00,3.0662499999999997,sl,-34.21989238904884,1
